:START_ID(Street),:END_ID(Ward),:TYPE
street|3d7c9990754250,ward|ho-chi-minh|phuong-xom-chieu,IN_WARD
street|3db3b94c476734,ward|ho-chi-minh|phuong-uc-nhuan,IN_WARD
street|3e2f944dc106e0,ward|ho-chi-minh|phuong-uc-nhuan,IN_WARD
street|3ea1e3ccc4d094,ward|ho-chi-minh|phuong-nhieu-loc,IN_WARD
street|3ea587298be297,ward|ho-chi-minh|phuong-uc-nhuan,IN_WARD
street|3f2c61be91d0ca,ward|ho-chi-minh|phuong-binh-trung,IN_WARD
street|3f4472053338e0,ward|ho-chi-minh|phuong-vung-tau,IN_WARD
street|3fa7a92c1d8d30,ward|ho-chi-minh|phuong-binh-ong,IN_WARD
street|3fc17f0f81af9e,ward|ho-chi-minh|phuong-vung-tau,IN_WARD
street|40589dde0896a5,ward|ho-chi-minh|phuong-binh-hung-hoa,IN_WARD
street|40a740cae21142,ward|ho-chi-minh|phuong-an-ong,IN_WARD
street|40ac31a66d07ee,ward|ho-chi-minh|xa-nha-be,IN_WARD
street|40d0c59c2a1466,ward|ho-chi-minh|phuong-vuon-lai,IN_WARD
street|40fd8801c996f4,ward|ho-chi-minh|phuong-cho-lon,IN_WARD
street|418e5779245e51,ward|ho-chi-minh|phuong-tan-son-hoa,IN_WARD
street|41cd4daa1a87e5,ward|ho-chi-minh|phuong-tan-hung,IN_WARD
street|42718b9a8be4a7,ward|ho-chi-minh|phuong-tan-my,IN_WARD
street|429967a8922d13,ward|ho-chi-minh|phuong-thoi-an,IN_WARD
street|433c7b3275dc61,ward|ho-chi-minh|phuong-thu-uc,IN_WARD
street|435ec9b13ed0b1,ward|ho-chi-minh|phuong-bay-hien,IN_WARD
street|4376f62e7333f9,ward|ho-chi-minh|phuong-binh-hung-hoa,IN_WARD
street|43caf75719bc76,ward|ho-chi-minh|xa-binh-chanh,IN_WARD
street|43f7cdf0349cd3,ward|ho-chi-minh|xa-binh-hung,IN_WARD
street|4401848db6804f,ward|ho-chi-minh|xa-tru-van-tho,IN_WARD
street|44133a57cdb294,ward|ho-chi-minh|phuong-phuoc-thang,IN_WARD
street|44140f934ca16b,ward|ho-chi-minh|phuong-tan-phu,IN_WARD
street|4423ba9230601d,ward|ho-chi-minh|phuong-tang-nhon-phu,IN_WARD
street|445e2195a9982e,ward|ho-chi-minh|phuong-linh-xuan,IN_WARD
street|449c5c57500d0b,ward|ho-chi-minh|phuong-ong-hoa,IN_WARD
street|453a78461c2ebc,ward|ho-chi-minh|phuong-tan-hung,IN_WARD
street|456cdb55c7f713,ward|ho-chi-minh|phuong-tan-thuan,IN_WARD
street|45947c7db5564e,ward|ho-chi-minh|phuong-tan-son,IN_WARD
street|45b040de388d38,ward|ho-chi-minh|phuong-tan-thuan,IN_WARD
street|46412b69c94811,ward|ho-chi-minh|phuong-phu-tho-hoa,IN_WARD
street|469788ebec0958,ward|ho-chi-minh|xa-ba-iem,IN_WARD
street|46beeb65d2a4de,ward|ho-chi-minh|phuong-thoi-hoa,IN_WARD
street|46fc7ae98648d9,ward|ho-chi-minh|phuong-binh-trung,IN_WARD
street|473c59ed794377,ward|ho-chi-minh|phuong-chanh-hung,IN_WARD
street|47413c42cb36f2,ward|ho-chi-minh|phuong-long-huong,IN_WARD
street|476f79df0ee21a,ward|ho-chi-minh|phuong-dien-hong,IN_WARD
street|4797e0f41c5f9e,ward|ho-chi-minh|phuong-thu-uc,IN_WARD
street|47b06a1463cb8d,ward|ho-chi-minh|phuong-chanh-hung,IN_WARD
street|47b516e68ffa13,ward|ho-chi-minh|phuong-binh-trung,IN_WARD
street|488a59b328c3ab,ward|ho-chi-minh|phuong-uc-nhuan,IN_WARD
street|4890f609aa55fd,ward|ho-chi-minh|phuong-long-binh,IN_WARD
street|489909a8f87f5b,ward|ho-chi-minh|phuong-xuan-hoa,IN_WARD
