amenity_id:ID(Amenity),name:string,category:string,latitude:float,longitude:float,street:string,address:string,operator:string,:LABEL
node/4131363694,Trung Tâm Mua Sắm Sài Gòn Square 3,supermarket,10.7858096,106.6944333,Hai Bà Trưng,"176-181, Hai Bà Trưng",,Amenity;Supermarket
node/4131656489,Trường Đại Học Kinh Tế - Luật,school,10.8480623,106.7520175,Kha Vạn Cân,Kha Vạn Cân,,Amenity;School
node/4194566940,Bệnh Viện Quốc Tế Minh Anh,hospital,10.747644,106.6143869,Đường số 1B,,,Amenity;Hospital
node/4214878553,Tòa nhà Becamex,bus_stop,10.9758891,106.6705121,,,Becamex Tokyu Bus Company,Amenity;BusStop
node/4214944332,Ngã ba Phú Mỹ,bus_stop,11.015583,106.6765554,Huỳnh Văn Lũy,,,Amenity;BusStop
node/4235350089,Satra Foods,supermarket,10.741349,106.70382,Lê Văn Lương,"353, Lê Văn Lương",,Amenity;Supermarket
node/4265539889,Bệnh Viện Mắt Sài Gòn,hospital,10.7713711,106.6909391,Lê Thị Riêng,"100, Lê Thị Riêng",,Amenity;Hospital
node/4269770701,Nhà sách Fahasha,supermarket,10.8450364,106.780152,Lê Văn Việt,,,Amenity;Supermarket
node/4295824693,Chợ Hiệp Bình Phước,market,10.863161,106.7210254,,,,Amenity;Market
node/4374995103,Chợ Long Trường,market,10.8061332,106.8224664,Nguyễn Duy Trinh,,,Amenity;Market
node/4384760684,Công Viên Sala,park,10.7712694,106.7250457,Cầu số 11 Đường N2,,,Amenity;Park
node/4385034681,Trung Tâm Anh Ngữ Việt Mỹ,school,10.7946233,106.6768275,Nguyễn Văn Trỗi,,,Amenity;School
node/4423148880,Trường Tiểu Học Lê Hoàn - Cơ Sở 2,school,10.8519469,106.6664309,Hẻm 748 Thống Nhất,,,Amenity;School
node/4424436533,Trường Tiểu Học Lê Hoàn,school,10.8487452,106.6684144,Hẻm 796 Lê Đức Thọ,,,Amenity;School
node/4441523937,Trung Tâm Mua Sắm Nguyễn Kim Gò Vấp,mall,10.8298519,106.6778983,Nguyễn Oanh,,,Amenity;Mall
node/4469923095,Trường Tiểu Học Trương Minh Giang,school,10.7883395,106.6772651,Lê Văn Sỹ,Lê Văn Sỹ,,Amenity;School
node/4505596089,137foodmart,supermarket,10.7987967,106.6269122,Nguyễn Quý Anh,"137/2, Nguyễn Quý Anh",công ty TNHH Minh Anh VN,Amenity;Supermarket
node/4531687689,WinMart,supermarket,10.8024983,106.741571,,,,Amenity;Supermarket
node/4544588290,trường tiểu học Trương Văn Ngài,school,10.8942715,106.5951991,Đường Liên Xã Thị Trấn Tân Hiệp,,,Amenity;School
node/4582296804,Ao cá Cây Bàng,bus_stop,10.7649064,106.6186062,Tân Hòa Đông,,,Amenity;BusStop
node/4582793330,Cầu Kinh mới,bus_stop,10.7919776,106.6059699,Tân Kỳ Tân Quý,,,Amenity;BusStop
node/4587199108,Tô Hiệu,bus_stop,10.7721879,106.6259017,Hòa Bình,,,Amenity;BusStop
node/4587199114,Trường Trung học Cơ sở Nguyễn Đức Cảnh,bus_stop,10.753956,106.643982,Hẻm 785 Hồng Bàng,,,Amenity;BusStop
node/4593843138,Chợ Nancy,market,10.7557937,106.6858615,,,,Amenity;Market
node/4604120590,Học Viện Quốc Tế Mỹ,school,10.8052363,106.7472376,Võ Trường Toản,"14, Võ Trường Toản",,Amenity;School
node/4613806894,Bệnh Viện Đa Khoa Mỹ Đức,hospital,10.7999684,106.6415956,Hẻm 4 Núi Thành,Hẻm 4 Núi Thành,,Amenity;Hospital
node/4618297763,Chợ Nhật Tảo,market,10.7641455,106.6653042,Hẻm 278 Nhật Tảo,,,Amenity;Market
node/4623078285,Chợ Nhật Tảo,bus_stop,10.7653516,106.667751,Nguyễn Tri Phương,,,Amenity;BusStop
node/4693253090,Giò Chả Thái Bình,supermarket,10.3612105,107.0865281,Nguyễn Tri Phương,"27, Nguyễn Tri Phương",,Amenity;Supermarket
node/4700458589,phan huy truc,school,10.7472946,106.7049273,Phan Huy Thực,"53/12, Phan Huy Thực",,Amenity;School
node/4723751789,Trường CĐ nghề Thủ Thiêm (cơ sở 2),school,10.7619965,106.7848994,Nguyễn Thị Định,"1299, Nguyễn Thị Định",,Amenity;School
node/4793262624,Nhà hát Quân đội,bus_stop,10.8012171,106.6567933,Cộng Hòa,,,Amenity;BusStop
node/4845298021,Học viện chính trị,school,10.8493464,106.7859409,Man Thiện,"09, Man Thiện",,Amenity;School
node/4872310218,Chợ Đình,market,10.9855069,106.6679563,,,,Amenity;Market
node/4875562331,Cửa Hàng Zakka Nautrals - Tạ Quang Bửu,supermarket,10.7368314,106.6698845,Tạ Quang Bửu,"854-856, Tạ Quang Bửu",,Amenity;Supermarket
node/4875562333,Zakka Thủ Đức,supermarket,10.8443245,106.7410142,Đường số 30,"4s, Đường số 30",,Amenity;Supermarket
node/4875562735,Siêu Thị K-Market,supermarket,10.727056,106.7086808,Nguyễn Đức Cảnh,"55, Nguyễn Đức Cảnh",,Amenity;Supermarket
node/4875562738,Siêu Thị Tiện Lợi Nam An,supermarket,10.7991432,106.6695155,Nguyễn Văn Trỗi,"303, Nguyễn Văn Trỗi",,Amenity;Supermarket
node/4875563426,Siêu Thị Tiện Lợi Citi Mart,supermarket,10.8252692,106.6303666,Đường Phan Huy Ích,"31-33, Đường Phan Huy Ích",,Amenity;Supermarket
node/4877811752,Ngã ba Chí Hòa,bus_stop,10.7806715,106.6763913,Cách Mạng Tháng Tám,,,Amenity;BusStop
node/4882823421,Siêu Thị Tiện Lợi US,supermarket,10.7618357,106.6901287,Đường Trần Hưng Ðạo,"329, Đường Trần Hưng Ðạo",,Amenity;Supermarket
node/4884593221,Tổng Công ty Samco,bus_stop,10.7596994,106.6881941,Trần Hưng Đạo,,,Amenity;BusStop
node/4886878622,Siêu Thị Tiện Lợi Citi Mart,supermarket,10.7435024,106.6955178,Đường số 6,"1, Đường số 6",,Amenity;Supermarket
node/4895993122,NHẬT NGỮ YARUKI,school,10.7881755,106.7026429,Hẻm 12 Nguyễn Thị Minh Khai,"12, Hẻm 12 Nguyễn Thị Minh Khai",,Amenity;School
node/4921983121,Trạm Xe Bus Ngã 4 Chợ Đêm Minh Tâm,bus_stop,10.6878759,106.5850546,Đường dẫn cao tốc Thành phố Hồ Chí Minh – Trung Lương,,,Amenity;BusStop
node/4921983122,Bệnh viện Triều An,bus_stop,10.7396714,106.6168663,Đường Kinh Dương Vương,,,Amenity;BusStop
node/4922024821,Bến Xe Huệ Nghĩa,bus_stop,10.7706093,106.6434347,Đường Tống Văn Trân,,,Amenity;BusStop
node/4923102921,Cầu An Lạc,bus_stop,10.7242734,106.6022625,Đường Kinh Dương Vương,,,Amenity;BusStop
node/4934180222,LOCK&LOCK,supermarket,10.6284038,106.7199627,,,,Amenity;Supermarket
node/4938463194,Chợ Khiết Tâm,market,10.8763939,106.746659,Đường Số 4,,,Amenity;Market
node/4952151021,Siêu Thị K-Market,supermarket,10.7168413,106.7038225,Nguyễn Hữu Thọ,"01-03, Nguyễn Hữu Thọ",,Amenity;Supermarket
node/4960265821,Siêu thị Co.op Xtra Linh Xuân,supermarket,10.849712,106.78289,Linh Xuân,Linh Xuân,,Amenity;Supermarket
node/4967246421,Tòa án Nhân dân Quận 11,bus_stop,10.7665711,106.6430688,Ông Ích Khiêm,,,Amenity;BusStop
node/4970998024,Trường Trung học cơ sở-Trung học phổ thông Hoa Sen,school,10.8418832,106.7747649,Đường Phan Chu Trinh,"26, Đường Phan Chu Trinh",,Amenity;School
node/4988383959,Chợ An Lạc,market,10.7418135,106.6200916,Đường Kinh Dương Vương,"Đường Kinh Dương Vương, Bình Tân, Ho Chi Minh City",,Amenity;Market
node/4998916525,Trường Trung học phổ thông Nguyễn Công Trứ,school,10.8383217,106.6535126,Quang Trung,"96, Quang Trung",,Amenity;School
node/4998946022,Trường Trung học cơ sở Nguyễn Trãi,school,10.8545196,106.6608752,Lê Đức Thọ,"1370, Lê Đức Thọ",,Amenity;School
node/4998978221,Trường Trung học phổ thông Lý Thái Tổ,school,10.8458193,106.6430253,Phạm Văn Chiêu,"54/5C, Phạm Văn Chiêu",,Amenity;School
node/4998978224,Trường Trung học cơ sở &Trung học phổ thông Bạch Đằng,school,10.8323026,106.6373362,hẻm 160,"160/72 P.H.Ích, hẻm 160",,Amenity;School
node/4998979428,"Trường Tiểu Học, Trung học cơ sở&Trung học phổ thông Hermann Gmeiner",school,10.8385938,106.6462003,Tân Sơn,"697, Tân Sơn",,Amenity;School
node/4998995821,Trường Trung học phổ thông Thăng Long,school,10.8434933,106.6370117,Phan Huy ích,"12/78, Phan Huy ích",,Amenity;School
node/4999010621,Trường Trung học cơ sở&Trung học phổ thông Hồng Hà,school,10.8287154,106.6731667,Đường Quang Trung,"570, Đường Quang Trung",,Amenity;School
node/4999025022,Trường Trung học cơ sở GÒ VẤP 2,school,10.8252545,106.6855736,Nguyễn Du,"1, Nguyễn Du",,Amenity;School
node/4999096423,Trường Trung học cơ sở LÝ TỰ TRỌNG,school,10.8460243,106.6707244,Đường Lê Đức Thọ,"578, Đường Lê Đức Thọ",,Amenity;School
node/4999130221,Trường Trung học phổ thông PHÙNG HƯNG,school,10.8450967,106.6640483,Đường số 1,"14A, Đường số 1",,Amenity;School
node/5000992122,Trường Trung học phổ thông Quốc Tế TIS,school,10.79821,106.6697959,Nguyễn Trọng Tuyển,"305, Nguyễn Trọng Tuyển",,Amenity;School
node/5001046522,Trường Đại Học Y Dược Thành phố Hồ Chí Minh,school,10.8000745,106.670766,Hoàng Văn Thụ,"223, Hoàng Văn Thụ",,Amenity;School
node/5001101121,Trường Trung học cơ sở&Trung học phổ thông Đức Trí,school,10.8086076,106.6793531,Hẻm 742 Nguyễn Kiệm,Hẻm 742 Nguyễn Kiệm,,Amenity;School
node/5001104522,Cao Đẳng Đại Việt,school,10.8086782,106.67369,Hoàng Minh Giám,"12, Hoàng Minh Giám",,Amenity;School
node/5001651731,Trường ĐH Mở (CN Bình Dương),school,10.9881564,106.6741092,,,,Amenity;School
node/5001651827,Big C Bình Dương,supermarket,10.987056,106.6644315,,,,Amenity;Supermarket
node/5001799155,Chợ Chim Xanh,market,10.7659514,106.6484854,Đường Đội Cung,,,Amenity;Market
node/5004140721,Trường Trung học cơ sở-Trung học phổ thông Bắc Sơn,school,10.8371216,106.6293516,Nguyễn Văn Quá,"371A, Nguyễn Văn Quá",,Amenity;School
node/5004140723,Trường Trung học cơ sở&Trung học phổ thông Mỹ Việt,school,10.8292704,106.620783,Phan Văn Hớn,"95, Phan Văn Hớn",,Amenity;School
node/5004225021,Trường Trung học cơ sở Nguyễn An Khương,school,10.8887056,106.5858499,Lê Thị Hồng Gấm,"66/6, Lê Thị Hồng Gấm",,Amenity;School
node/5004228621,Trường Trung học cơ sở lý chính thắng 1,school,10.8929094,106.5815642,Nguyễn thị nuôi,"5/5, Nguyễn thị nuôi",,Amenity;School
node/5004294921,Trường Trung học cơ sở Nguyễn Chí Thanh,school,10.8778896,106.6344142,Hiệp Thành 11,"100A, Hiệp Thành 11",,Amenity;School
node/5006250060,Trung Tâm Giáo Dục Thường Xuyên,school,10.7693479,106.645301,Hẻm 416 Lạc Long Quân,"416/1, Hẻm 416 Lạc Long Quân",,Amenity;School
node/5006252089,TT Kỹ Thuật Tổng Hợp Hướng Nghiệp Quận 11,school,10.7730792,106.6471039,Đường Lạc Long Quân,"445/2, Đường Lạc Long Quân",,Amenity;School
node/5006271522,Hệ Thống Trường Việt Mỹ,school,10.7650159,106.6423509,Đường Lạc Long Quân,"252, Đường Lạc Long Quân",,Amenity;School
