:START_ID(Listing),:END_ID(FormerAdminArea),:TYPE
44870654,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
43146761,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
43768536,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43161489,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
45187377,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45240205,former-area|ho-chi-minh|quan-3,IN_FORMER_AREA
43756300,former-area|binh-duong|thanh-pho-thu-dau-mot,IN_FORMER_AREA
44816319,former-area|binh-duong|thanh-pho-thu-dau-mot,IN_FORMER_AREA
43748419,former-area|binh-duong|thanh-pho-thu-dau-mot,IN_FORMER_AREA
45229939,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
43693887,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44700316,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44815299,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44516802,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44464713,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44740670,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44723700,former-area|ho-chi-minh|quan-phu-nhuan,IN_FORMER_AREA
45032566,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
34061984,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
43203408,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45014980,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
45016308,former-area|ho-chi-minh|quan-tan-phu,IN_FORMER_AREA
44659061,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
45235201,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45236710,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45236270,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
43548457,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
45234636,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
45234641,former-area|ho-chi-minh|quan-12,IN_FORMER_AREA
43228481,former-area|binh-duong|thanh-pho-thuan-an,IN_FORMER_AREA
40990762,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45196185,former-area|ho-chi-minh|quan-11,IN_FORMER_AREA
45155260,former-area|ho-chi-minh|quan-11,IN_FORMER_AREA
45222811,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
44902020,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44887604,former-area|ho-chi-minh|huyen-nha-be,IN_FORMER_AREA
43779678,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44143992,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45010170,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44532012,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43863458,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43874379,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45039157,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43725380,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44531634,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44241249,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45229457,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45151230,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
44841772,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44845848,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45197810,former-area|ho-chi-minh|quan-go-vap,IN_FORMER_AREA
45081807,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
45210622,former-area|ho-chi-minh|quan-binh-tan,IN_FORMER_AREA
45228435,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44450031,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44612137,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44596902,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
43284831,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45138926,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45057690,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44482148,former-area|ho-chi-minh|quan-3,IN_FORMER_AREA
45227501,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
44137008,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
42091112,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44714707,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45223376,former-area|ho-chi-minh|quan-6,IN_FORMER_AREA
45202954,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
44894510,former-area|ho-chi-minh|quan-tan-phu,IN_FORMER_AREA
45202949,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
44552020,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45202945,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
44849133,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45175379,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
44150180,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43845012,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44967290,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43513035,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45059343,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
44404341,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44404628,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44697172,former-area|ho-chi-minh|quan-binh-tan,IN_FORMER_AREA
44406217,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44404468,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45019830,former-area|ho-chi-minh|quan-12,IN_FORMER_AREA
44403119,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45189689,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
45220208,former-area|ho-chi-minh|quan-8,IN_FORMER_AREA
41811080,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45135899,former-area|binh-duong|thanh-pho-di-an,IN_FORMER_AREA
45007050,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
44742649,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
42578626,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44466821,former-area|ho-chi-minh|quan-phu-nhuan,IN_FORMER_AREA
44709669,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
45137809,former-area|binh-duong|thanh-pho-di-an,IN_FORMER_AREA
44256714,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
43827262,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
44186833,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
45110563,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44416135,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
44742828,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
43284851,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43825788,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45219753,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45219725,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45219182,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43839734,former-area|binh-duong|thanh-pho-di-an,IN_FORMER_AREA
45217838,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44018090,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
45216684,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45217453,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45209882,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44794760,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
43999966,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44416443,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
44400338,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45080633,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
43688714,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45073124,former-area|ho-chi-minh|huyen-hoc-mon,IN_FORMER_AREA
45042196,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
44432528,former-area|ho-chi-minh|quan-3,IN_FORMER_AREA
43733254,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44287640,former-area|ho-chi-minh|quan-10,IN_FORMER_AREA
44398352,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
45212694,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44085752,former-area|ho-chi-minh|quan-10,IN_FORMER_AREA
44682333,former-area|ho-chi-minh|quan-10,IN_FORMER_AREA
44992114,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
45209379,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
45212351,former-area|ho-chi-minh|quan-8,IN_FORMER_AREA
44878181,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45211123,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45211193,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45040159,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45040121,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45210408,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45043852,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
45040043,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
43880424,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44986315,former-area|binh-duong|thanh-pho-di-an,IN_FORMER_AREA
44186979,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
45210229,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44976878,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
43349917,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43776876,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44466982,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
45206979,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
45207061,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
44673234,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44482077,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
45183463,former-area|ho-chi-minh|quan-go-vap,IN_FORMER_AREA
44939217,former-area|ho-chi-minh|quan-3,IN_FORMER_AREA
45189772,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
43830855,former-area|ho-chi-minh|huyen-nha-be,IN_FORMER_AREA
45197190,former-area|ho-chi-minh|quan-tan-phu,IN_FORMER_AREA
44786591,former-area|ho-chi-minh|quan-tan-phu,IN_FORMER_AREA
44757351,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44202944,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44984489,former-area|ho-chi-minh|quan-phu-nhuan,IN_FORMER_AREA
44910889,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
45023942,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44634121,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
43537036,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45184650,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44077990,former-area|binh-duong|thanh-pho-di-an,IN_FORMER_AREA
45070787,former-area|ho-chi-minh|quan-12,IN_FORMER_AREA
44834862,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44796007,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44957726,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44238591,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44482740,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
44755067,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
42023574,former-area|binh-duong|thanh-pho-thu-dau-mot,IN_FORMER_AREA
40503273,former-area|binh-duong|thanh-pho-thu-dau-mot,IN_FORMER_AREA
