:START_ID(Listing),:END_ID(GeoCluster),:TYPE
44427695,G0290,IN_CLUSTER
44934839,G0626,IN_CLUSTER
45085092,G0900,IN_CLUSTER
44577814,G0137,IN_CLUSTER
44935352,G0102,IN_CLUSTER
45240798,G0532,IN_CLUSTER
45111612,G0974,IN_CLUSTER
44623799,G0580,IN_CLUSTER
45261802,G0879,IN_CLUSTER
40679443,G0701,IN_CLUSTER
44818877,G0188,IN_CLUSTER
41078865,G0428,IN_CLUSTER
45143889,G0072,IN_CLUSTER
39465019,G0060,IN_CLUSTER
45256332,G0376,IN_CLUSTER
43862357,G0072,IN_CLUSTER
45252566,G0656,IN_CLUSTER
45255230,G0785,IN_CLUSTER
44598931,G0072,IN_CLUSTER
45263425,G0848,IN_CLUSTER
44854353,G0060,IN_CLUSTER
44953673,G0180,IN_CLUSTER
44341133,G0122,IN_CLUSTER
43469104,G0072,IN_CLUSTER
44759145,G0178,IN_CLUSTER
45189288,G0215,IN_CLUSTER
45222094,G0087,IN_CLUSTER
45193853,G0443,IN_CLUSTER
44684469,G0774,IN_CLUSTER
45272297,G0535,IN_CLUSTER
45198154,G1069,IN_CLUSTER
45005416,G0122,IN_CLUSTER
45246125,G0570,IN_CLUSTER
45103700,G0474,IN_CLUSTER
44615878,G0081,IN_CLUSTER
40970351,G0843,IN_CLUSTER
45124613,G0752,IN_CLUSTER
44832555,G0266,IN_CLUSTER
45190193,G0726,IN_CLUSTER
45190237,G0768,IN_CLUSTER
45190476,G0658,IN_CLUSTER
45266627,G0860,IN_CLUSTER
44432931,G0237,IN_CLUSTER
44532175,G0744,IN_CLUSTER
45265868,G0841,IN_CLUSTER
45257511,G0086,IN_CLUSTER
45267874,G0151,IN_CLUSTER
43472386,G0912,IN_CLUSTER
45261598,G0051,IN_CLUSTER
45271863,G0625,IN_CLUSTER
42188831,G0426,IN_CLUSTER
45262674,G0930,IN_CLUSTER
45239181,G0553,IN_CLUSTER
43888979,G0238,IN_CLUSTER
44066039,G0665,IN_CLUSTER
45050264,G0228,IN_CLUSTER
44990569,G0093,IN_CLUSTER
45251079,G1061,IN_CLUSTER
45235483,G0935,IN_CLUSTER
45267067,G0989,IN_CLUSTER
45261487,G0752,IN_CLUSTER
43593699,G0375,IN_CLUSTER
44784199,G0179,IN_CLUSTER
44744909,G0219,IN_CLUSTER
45271541,G0064,IN_CLUSTER
45007611,G0199,IN_CLUSTER
45083934,G0229,IN_CLUSTER
45189695,G0888,IN_CLUSTER
45270893,G0085,IN_CLUSTER
45261561,G0694,IN_CLUSTER
45016136,G0990,IN_CLUSTER
45128430,G0686,IN_CLUSTER
45151591,G0607,IN_CLUSTER
42379055,G1001,IN_CLUSTER
45190446,G0285,IN_CLUSTER
45146834,G0895,IN_CLUSTER
45261209,G0536,IN_CLUSTER
44443389,G0516,IN_CLUSTER
45054943,G0142,IN_CLUSTER
45159682,G0173,IN_CLUSTER
43906503,G0670,IN_CLUSTER
45270265,G0348,IN_CLUSTER
44150181,G0757,IN_CLUSTER
45004899,G0088,IN_CLUSTER
45089167,G0527,IN_CLUSTER
44153316,G1000,IN_CLUSTER
45261902,G0750,IN_CLUSTER
44435880,G0087,IN_CLUSTER
43981180,G0456,IN_CLUSTER
44951460,G0787,IN_CLUSTER
44942944,G0201,IN_CLUSTER
45258990,G0794,IN_CLUSTER
45232770,G0288,IN_CLUSTER
43832511,G0099,IN_CLUSTER
45262066,G0708,IN_CLUSTER
45064702,G0386,IN_CLUSTER
44335025,G0350,IN_CLUSTER
43775873,G0275,IN_CLUSTER
44965701,G0379,IN_CLUSTER
43172287,G0266,IN_CLUSTER
44222475,G0457,IN_CLUSTER
42806581,G0545,IN_CLUSTER
43467650,G0393,IN_CLUSTER
43903589,G0359,IN_CLUSTER
43720201,G0651,IN_CLUSTER
40901271,G0316,IN_CLUSTER
45083831,G0197,IN_CLUSTER
45247724,G0116,IN_CLUSTER
43238341,G0359,IN_CLUSTER
42527051,G0316,IN_CLUSTER
44140279,G0359,IN_CLUSTER
43931812,G0459,IN_CLUSTER
43376549,G0350,IN_CLUSTER
44825135,G0376,IN_CLUSTER
44819746,G0266,IN_CLUSTER
43598350,G0359,IN_CLUSTER
45231497,G0656,IN_CLUSTER
45253348,G0752,IN_CLUSTER
44810753,G0713,IN_CLUSTER
44865186,G0321,IN_CLUSTER
44773630,G0519,IN_CLUSTER
43122633,G0032,IN_CLUSTER
45241403,G0128,IN_CLUSTER
45120025,G0951,IN_CLUSTER
45076045,G0528,IN_CLUSTER
45261455,G0603,IN_CLUSTER
45261537,G0508,IN_CLUSTER
45144378,G0823,IN_CLUSTER
44089093,G0057,IN_CLUSTER
43452916,G0317,IN_CLUSTER
45240198,G0605,IN_CLUSTER
44734340,G0286,IN_CLUSTER
44790560,G0971,IN_CLUSTER
43419296,G0473,IN_CLUSTER
45252887,G0213,IN_CLUSTER
45251312,G0983,IN_CLUSTER
45038437,G0712,IN_CLUSTER
44522452,G0057,IN_CLUSTER
44593189,G0051,IN_CLUSTER
45071210,G0953,IN_CLUSTER
45270087,G0287,IN_CLUSTER
45097287,G0806,IN_CLUSTER
45260967,G0603,IN_CLUSTER
43786316,G0657,IN_CLUSTER
45189282,G0449,IN_CLUSTER
44958409,G0032,IN_CLUSTER
45249483,G0019,IN_CLUSTER
45189864,G0520,IN_CLUSTER
41753098,G0089,IN_CLUSTER
44618700,G0653,IN_CLUSTER
42045091,G0540,IN_CLUSTER
45138568,G0128,IN_CLUSTER
42666931,G0624,IN_CLUSTER
44945238,G0064,IN_CLUSTER
45246198,G0139,IN_CLUSTER
45238136,G0372,IN_CLUSTER
45256356,G0797,IN_CLUSTER
45262999,G0201,IN_CLUSTER
44763347,G0226,IN_CLUSTER
45247385,G0781,IN_CLUSTER
45220146,G0883,IN_CLUSTER
45220153,G0852,IN_CLUSTER
45189051,G0837,IN_CLUSTER
43398089,G0794,IN_CLUSTER
45265594,G0769,IN_CLUSTER
44962033,G0192,IN_CLUSTER
44871367,G0166,IN_CLUSTER
44018332,G0266,IN_CLUSTER
43789474,G0215,IN_CLUSTER
44931890,G0032,IN_CLUSTER
44772974,G0028,IN_CLUSTER
45251495,G0402,IN_CLUSTER
45265586,G0109,IN_CLUSTER
45229877,G1061,IN_CLUSTER
45228729,G1061,IN_CLUSTER
45224442,G1061,IN_CLUSTER
44893195,G0044,IN_CLUSTER
