:START_ID(Listing),:END_ID(Amenity),category:string,rank:int,is_nearest:boolean,straight_line_km:float,driving_distance_km:float,driving_duration_min:float,within_threshold:boolean,threshold_km:float,:TYPE
43919030,node/11586280327,metro,1,true,16.752,24.749,26.7,false,3.0,NEAR_AMENITY
43919030,way/1195551387,mall,1,true,11.192,12.871,14.7,false,5.0,NEAR_AMENITY
43919030,way/264294898,market,1,true,3.453,4.105,7.3,false,2.0,NEAR_AMENITY
43919030,way/264458636,supermarket,1,true,2.277,2.649,4.6,false,2.0,NEAR_AMENITY
43919030,way/264451918,park,1,true,3.522,4.915,7.1,true,5.0,NEAR_AMENITY
43919030,node/12337076694,bus_stop,1,true,2.572,2.787,4.5,false,2.0,NEAR_AMENITY
45162235,node/9593946639,hospital,1,true,6.033,7.647,11.6,,,NEAR_AMENITY
45162235,way/1226544220,school,1,true,1.02,1.882,3.9,true,2.0,NEAR_AMENITY
45162235,way/1433503743,college_university,1,true,2.319,3.285,5.0,true,5.0,NEAR_AMENITY
45162235,way/1162981728,metro,1,true,15.093,19.815,19.7,false,3.0,NEAR_AMENITY
45162235,way/504157823,mall,1,true,6.439,8.619,12.3,false,5.0,NEAR_AMENITY
45162235,node/9593946657,market,1,true,2.966,3.704,6.3,false,2.0,NEAR_AMENITY
45162235,node/6024915705,supermarket,1,true,2.271,3.974,5.6,false,2.0,NEAR_AMENITY
45162235,way/1211031817,park,1,true,6.22,7.961,11.1,false,5.0,NEAR_AMENITY
45162235,node/12237338972,bus_stop,1,true,0.034,0.196,0.6,true,2.0,NEAR_AMENITY
44845494,node/9593946639,hospital,1,true,6.43,7.479,10.8,,,NEAR_AMENITY
44845494,relation/16291702,school,1,true,0.865,1.504,3.1,true,2.0,NEAR_AMENITY
44845494,way/1433503743,college_university,1,true,2.628,3.319,4.5,true,5.0,NEAR_AMENITY
44845494,way/1162981728,metro,1,true,15.425,19.324,18.3,false,3.0,NEAR_AMENITY
44845494,way/504157823,mall,1,true,6.834,8.45,11.5,false,5.0,NEAR_AMENITY
44845494,node/9593946657,market,1,true,3.087,3.737,5.8,false,2.0,NEAR_AMENITY
44845494,node/6024915705,supermarket,1,true,2.495,3.483,4.2,false,2.0,NEAR_AMENITY
44845494,way/1211031817,park,1,true,6.605,7.792,10.3,false,5.0,NEAR_AMENITY
44845494,node/12237338972,bus_stop,1,true,0.392,0.695,1.7,true,2.0,NEAR_AMENITY
44984592,node/9593946639,hospital,1,true,6.43,7.479,10.8,,,NEAR_AMENITY
44984592,relation/16291702,school,1,true,0.865,1.504,3.1,true,2.0,NEAR_AMENITY
44984592,way/1433503743,college_university,1,true,2.628,3.319,4.5,true,5.0,NEAR_AMENITY
44984592,way/1162981728,metro,1,true,15.425,19.324,18.3,false,3.0,NEAR_AMENITY
44984592,way/504157823,mall,1,true,6.834,8.45,11.5,false,5.0,NEAR_AMENITY
44984592,node/9593946657,market,1,true,3.087,3.737,5.8,false,2.0,NEAR_AMENITY
44984592,node/6024915705,supermarket,1,true,2.495,3.483,4.2,false,2.0,NEAR_AMENITY
44984592,way/1211031817,park,1,true,6.605,7.792,10.3,false,5.0,NEAR_AMENITY
44984592,node/12237338972,bus_stop,1,true,0.392,0.695,1.7,true,2.0,NEAR_AMENITY
45038070,way/158708608,hospital,1,true,3.221,3.974,5.7,,,NEAR_AMENITY
