street_id:ID(Street),name:string,ward_id:string,city_province:string,:LABEL
street|2feb6352d41830,Gò Cẩm Đệm,ward|ho-chi-minh|phuong-bay-hien,Hồ Chí Minh,Street
street|2ff71bf8f13e6e,Võ Nguyên Giáp,ward|ho-chi-minh|phuong-binh-duong,Hồ Chí Minh,Street
street|2ff7d56e41cb6e,Nguyễn Duy Trinh,ward|ho-chi-minh|phuong-long-truong,Hồ Chí Minh,Street
street|320e6da9483d7f,Minh Phụng,ward|ho-chi-minh|phuong-binh-tay,Hồ Chí Minh,Street
street|3234d2a954bb3b,Hẻm 32 Nhiêu Tứ,ward|ho-chi-minh|phuong-cau-kieu,Hồ Chí Minh,Street
street|32a0cead84ce10,Mai Xuân Thưởng,ward|ho-chi-minh|phuong-binh-loi-trung,Hồ Chí Minh,Street
street|3306148aff20c7,Lâm Quang Ky,ward|ho-chi-minh|phuong-cat-lai,Hồ Chí Minh,Street
street|330ba3375f874b,N1,ward|ho-chi-minh|phuong-di-an,Hồ Chí Minh,Street
street|330ca67afaba1e,5,ward|ho-chi-minh|phuong-chanh-phu-hoa,Hồ Chí Minh,Street
street|3326d4dac33580,Phạm Hồng Thái,ward|ho-chi-minh|phuong-tam-thang,Hồ Chí Minh,Street
street|3341d29cabfde2,An Bình,ward|ho-chi-minh|phuong-an-ong,Hồ Chí Minh,Street
street|3369a385ee1731,Tôn Thất Thuyết,ward|ho-chi-minh|phuong-vinh-hoi,Hồ Chí Minh,Street
street|3387290c1fca8e,Duy Tân,ward|ho-chi-minh|phuong-cau-kieu,Hồ Chí Minh,Street
street|33c8b1b422d469,Lê Văn Khương,ward|ho-chi-minh|phuong-thoi-an,Hồ Chí Minh,Street
street|341e57b7922898,Hà Huy Giáp,ward|ho-chi-minh|phuong-thoi-an,Hồ Chí Minh,Street
street|3422eebc89e300,Bà Hạt,ward|ho-chi-minh|phuong-vuon-lai,Hồ Chí Minh,Street
street|347282601781ea,Tân Thới Nhì 5,ward|ho-chi-minh|xa-xuan-thoi-son,Hồ Chí Minh,Street
street|34b0d55c797310,Trương Đình Hội,ward|ho-chi-minh|phuong-phu-inh,Hồ Chí Minh,Street
street|34cd0265ed5599,Huỳnh Văn Nghệ,ward|ho-chi-minh|phuong-bay-hien,Hồ Chí Minh,Street
street|34dda05d768f9b,Thạnh Xuân 43,ward|ho-chi-minh|phuong-thoi-an,Hồ Chí Minh,Street
street|351637e1c9dc48,Vành Đai Trong,ward|ho-chi-minh|phuong-long-truong,Hồ Chí Minh,Street
street|354b268ebc42b8,Hoàng Hoa Thám,ward|ho-chi-minh|phuong-bay-hien,Hồ Chí Minh,Street
street|355c05741095e4,Lý Thường Kiệt,ward|ho-chi-minh|phuong-hanh-thong,Hồ Chí Minh,Street
street|3584d277864df5,Ngô Quyền,ward|ho-chi-minh|phuong-dien-hong,Hồ Chí Minh,Street
street|358aa576dfd920,Phạm Ngọc Thạch,ward|ho-chi-minh|phuong-xuan-hoa,Hồ Chí Minh,Street
street|35c58ff27ca4f1,Nguyễn Văn Công,ward|ho-chi-minh|phuong-hanh-thong,Hồ Chí Minh,Street
street|35d6d4feaa5d26,Tân Thới Nhất 1,ward|ho-chi-minh|phuong-ong-hung-thuan,Hồ Chí Minh,Street
street|363ad62dcbda2c,7A,ward|ho-chi-minh|phuong-an-lac,Hồ Chí Minh,Street
street|36d4dbbb604b9b,D3,ward|ho-chi-minh|phuong-phuoc-long,Hồ Chí Minh,Street
street|36ed88d3cfecc0,Nguyễn Thái Học,ward|ho-chi-minh|phuong-tan-ong-hiep,Hồ Chí Minh,Street
street|3724dea8abfff3,Số 2,ward|ho-chi-minh|phuong-an-lac,Hồ Chí Minh,Street
street|374553c7ff6f75,Bàu Cát 1,ward|ho-chi-minh|phuong-bay-hien,Hồ Chí Minh,Street
street|37652f5971681c,Số 3,ward|ho-chi-minh|phuong-an-khanh,Hồ Chí Minh,Street
street|378552d2025a5a,Lê Văn Thọ,ward|ho-chi-minh|phuong-an-hoi-tay,Hồ Chí Minh,Street
